valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 295.000;Cond.Villa Park, apartamentos de 3 quartos, 68 m2 - R$295.000,00;Ontem às 20:20;Profissional;"['""3 quartos', '68m²', 'Condomínio: R$ 418', '2 vagas"">3 quartos', '68m²', 'Condomínio: R$ 418', '2 vagas']"
R$ 1.500.000;Apartamento MOBILIADO com 4 dormitórios à venda, 196 m² por R 1.500.000 - Capim Macio - Na;Ontem às 20:19;Profissional;"['""4 quartos', '196m²', 'Condomínio: R$ 1.270', '4 vagas"">4 quartos', '196m²', 'Condomínio: R$ 1.270', '4 vagas']"
R$ 270.000;Apartamento à venda com 2 quartos em Capim Macio/ Natal-RN Remax Gama;Ontem às 20:08;Profissional;"['""2 quartos', '57m²', '1 vaga"">2 quartos', '57m²', '1 vaga']"
R$ 590.000;Apartamento Ed Carlos Gondin, 3 suítes, Tirol;Ontem às 20:06;Profissional;"['""3 quartos', '112m²', 'Condomínio: R$ 570', '2 vagas"">3 quartos', '112m²', 'Condomínio: R$ 570', '2 vagas']"
R$ 2.000.000;Apartamento Pavarotti, 4 suítes, Areia Preta;Ontem às 20:06;Profissional;"['""3 quartos', '293m²', 'Condomínio: R$ 2.400', '4 vagas"">3 quartos', '293m²', 'Condomínio: R$ 2.400', '4 vagas']"
R$ 235.000;Excelente Flat em Ponta Negra próximo á praia;Ontem às 20:04;Profissional;"['""2 quartos', '62m²', 'Condomínio: R$ 1.600"">2 quartos', '62m²', 'Condomínio: R$ 1.600']"
R$ 290.000;Excelente Porto Arena ;Ontem às 20:00;Profissional;"['""1 quarto', '57m²', 'Condomínio: R$ 314', '1 vaga"">1 quarto', '57m²', 'Condomínio: R$ 314', '1 vaga']"
R$ 115.000;Apartamento no Planalto - Documentação Grátis;Ontem às 19:52;Profissional;"['""2 quartos', '43m²', '1 vaga"">2 quartos', '43m²', '1 vaga']"
R$ 690.000;Ponta Negra - 112m² - Vista Direta para o Mar;Ontem às 19:52;Profissional;"['""3 quartos', '112m²', '2 vagas"">3 quartos', '112m²', '2 vagas']"
R$ 280.000;Condomínio Central Park, Neópolis - Apartamento 2/4 sendo 1 suíte, com 67m² para venda;Ontem às 19:39;Profissional;"['""2 quartos', '67m²', '1 vaga"">2 quartos', '67m²', '1 vaga']"
R$ 289.000;Apartamento com três dormitórios no bairro de Lagoa Nova, em frente a Casa Norte Atacado.;Ontem às 19:37;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 570.000;Apto 4/4 Capim macio;Ontem às 19:23;Profissional;"['""4 quartos', '108m²', 'Condomínio: R$ 500', '2 vagas"">4 quartos', '108m²', 'Condomínio: R$ 500', '2 vagas']"
