valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 250.000;Flat com 2 dormitórios à venda, 47 m² por R$ 250.000,00 - Areia Preta - Natal/RN;Ontem às 19:16;Profissional;"['""2 quartos', '47m²', '1 vaga"">2 quartos', '47m²', '1 vaga']"
R$ 510.000;Apartamento à venda com 3 dormitórios em Lagoa seca, Natal cod:11289;Ontem às 19:14;Profissional;"['""3 quartos', '102m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '102m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 525.000;Oportunidade! 2 Imóveis por R$ 525.000,00;Ontem às 19:11;Profissional;"['""3 quartos', '101m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '101m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 339.900;Estrela Do Atlântico com vista mar ;Ontem às 19:10;Profissional;"['""2 quartos', '59m²', 'Condomínio: R$ 400', '1 vaga"">2 quartos', '59m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 650.000;Apartamento para Venda em Natal, TIROL, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas;Ontem às 18:45;Profissional;"['""3 quartos', '112m²', '2 vagas"">3 quartos', '112m²', '2 vagas']"
R$ 395.900;Apto 3/4 e 3 suítes de 92 m² na planta, 2 vagas por 395.900 no Condomínio Torres Di Maria;Ontem às 18:42;Profissional;"['""3 quartos', '92m²', '2 vagas"">3 quartos', '92m²', '2 vagas']"
R$ 569.000;Condomínio Golden Green - Apto 3/4 e 3 suítes de 123 m², projetados, 2 vagas por 569.000;Ontem às 18:41;Profissional;"['""3 quartos', '123m²', 'Condomínio: R$ 550', '2 vagas"">3 quartos', '123m²', 'Condomínio: R$ 550', '2 vagas']"
R$ 696.727;DUO Capim Macio (Lançamento) - Apto 3/4 e 3 suítes de 144 m² e 2 vagas por 696.727, Natal;Ontem às 18:40;Profissional;"['""3 quartos', '144m²', 'Condomínio: R$ 535', '2 vagas"">3 quartos', '144m²', 'Condomínio: R$ 535', '2 vagas']"
R$ 189.999;Condomínio Sun Set - Apto 2/4 com suíte de 55 m², projetados, 1 vaga por 189.999;Ontem às 18:40;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 290', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 290', '1 vaga']"
R$ 310.000;Condomínio Izidora Beatriz - Apto 3/4 com 1 suite, 2 semi suite de 77 m² por 310.000;Ontem às 18:40;Profissional;"['""3 quartos', '77m²', 'Condomínio: R$ 440', '1 vaga"">3 quartos', '77m²', 'Condomínio: R$ 440', '1 vaga']"
R$ 299.900;Condomínio Vita Clube - Apto de 2/4 com suite, dependência de 89 m², 5º andar de 299.900;Ontem às 18:39;Profissional;"['""2 quartos', '89m²', 'Condomínio: R$ 790', '2 vagas"">2 quartos', '89m²', 'Condomínio: R$ 790', '2 vagas']"
R$ 289.900;Apartamento de 3 quartos com 84 m2 no Sun Rise - R$289.900,00;Ontem às 18:30;Profissional;"['""3 quartos', '84m²', 'Condomínio: R$ 350', '2 vagas"">3 quartos', '84m²', 'Condomínio: R$ 350', '2 vagas']"
R$ 1.650.000;CONDOMÍNIO SOLAR ALTA VISTA;Ontem às 18:28;Profissional;"['""3 quartos', '13258m²', '3 vagas"">3 quartos', '13258m²', '3 vagas']"
R$ 749.900;Apartamento no Art Dell`Acqua em Lagoa Nova;Ontem às 18:01;Profissional;"['""3 quartos', '131m²', 'Condomínio: R$ 1.100', '2 vagas"">3 quartos', '131m²', 'Condomínio: R$ 1.100', '2 vagas']"
R$ 1.800.000;Apartamento em Areia Preta - 4 Suítes - 280m² - Porto Atlântico;Ontem às 18:01;Profissional;"['""4 quartos', '480m²"">4 quartos', '480m²']"
R$ 151.000;Black Friday - Apartamento em Ponta Negra - 2/4 - 48m² - Praia de Pipa - Doc Grátis;Ontem às 18:00;Profissional;"['""2 quartos', '52m²"">2 quartos', '52m²']"
R$ 850.000;Lindo, elegante, sofisticado, aconchegante, confortável e arejado_ Apto 3 suítes;Ontem às 17:57;Profissional;"['""3 quartos', '240m²', 'Condomínio: R$ 1.570', '3 vagas"">3 quartos', '240m²', 'Condomínio: R$ 1.570', '3 vagas']"
R$ 143.900;Apartamento com 2 dormitórios em Capim Macio R$ 143.900;Ontem às 17:51;Profissional;"['""2 quartos', '63m²', '1 vaga"">2 quartos', '63m²', '1 vaga']"
R$ 579.000;Apartamento com 3 dormitórios à venda, 170 m² - Lagoa Nova - Natal/RN;Ontem às 17:39;Profissional;"['""3 quartos', '170m²', 'Condomínio: R$ 1.561', '3 vagas"">3 quartos', '170m²', 'Condomínio: R$ 1.561', '3 vagas']"
R$ 150.000;Apartamento à venda com 1 dormitórios em Dixsept rosado, Natal cod:811004;Ontem às 17:37;Profissional;"['""1 quarto', '49m²', 'Condomínio: R$ 430', '1 vaga"">1 quarto', '49m²', 'Condomínio: R$ 430', '1 vaga']"
R$ 689.990;Lindo apartamento no Quartier Lagoa Nova 119m²;Ontem às 17:37;Profissional;"['""3 quartos', '119m²', 'Condomínio: R$ 600', '2 vagas"">3 quartos', '119m²', 'Condomínio: R$ 600', '2 vagas']"
R$ 650.000;S0297 - Apartamento à venda 3 quartos, 131 m² em Lagoa Nova;Ontem às 17:27;Profissional;"['""3 quartos', '131m²', '2 vagas"">3 quartos', '131m²', '2 vagas']"
R$ 280.000;Apartamento em Lagoa Nova;Ontem às 17:27;Ontem às 17:27<!-- --> ;"['""3 quartos', '122m²', 'Condomínio: R$ 335', '2 vagas"">3 quartos', '122m²', 'Condomínio: R$ 335', '2 vagas']"
R$ 850.000;Apartamento à venda com 5 dormitórios em Petrópolis, Natal cod:11038;Ontem às 17:26;Profissional;"['""5 ou mais quarto', '273m²', 'Condomínio: R$ 1.900', '3 vagas"">5 ou mais quarto', '273m²', 'Condomínio: R$ 1.900', '3 vagas']"
R$ 1.250.000;Vendo apartamento no Sport Gardesn com 170m, 4 suites 4 vagas;Ontem às 17:08;Profissional;"['""4 quartos', '170m²', 'Condomínio: R$ 950', '4 vagas"">4 quartos', '170m²', 'Condomínio: R$ 950', '4 vagas']"
R$ 220.000;Apartamento próximo ao Fórum de Justiça Estadual/PF/TRT/JFRN;Ontem às 17:04;Ontem às 17:04<!-- --> ;"['""3 quartos', '98m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 550.000;Apartamento de frente pro mar;Ontem às 17:01;Ontem às 17:01<!-- --> ;"['""3 quartos', '110m²', 'Condomínio: R$ 1.200', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 1.200', '2 vagas']"
R$ 1.400.000;Apartamento à venda com 4 dormitórios em Petrópolis, Natal cod:9250;Ontem às 16:40;Profissional;"['""4 quartos', '271m²', 'Condomínio: R$ 1.900', '3 vagas"">4 quartos', '271m²', 'Condomínio: R$ 1.900', '3 vagas']"
R$ 160.000;Apartamento à venda com 1 dormitórios em Ponta negra, Natal cod:10774;Ontem às 16:38;Profissional;"['""1 quarto', '35m²', 'Condomínio: R$ 978', '1 vaga"">1 quarto', '35m²', 'Condomínio: R$ 978', '1 vaga']"
R$ 20.000;Condomínio Green Life - Sem Burocracia e Facilidade de Aprovação;Ontem às 16:32;Profissional;"['""3 quartos', '71m²', 'Condomínio: R$ 331', '2 vagas"">3 quartos', '71m²', 'Condomínio: R$ 331', '2 vagas']"
R$ 489.000;Excelente Apartamento Em Capim Macio Condomínio Colosso Galdina Barbosa 3 suítes 185m²;Ontem às 16:21;Profissional;"['""3 quartos', '185m²', 'Condomínio: R$ 1.250', '2 vagas"">3 quartos', '185m²', 'Condomínio: R$ 1.250', '2 vagas']"
R$ 167.900;Minha Casa Minha VIda em Ponta Negra! 2 quartos;Ontem às 16:13;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 699.000;Espaço e Comodidade! 120m - 4/4 com suítes - Vagas cobertas - Localização privilegiada;Ontem às 16:07;Profissional;"['""4 quartos', '120m²', 'Condomínio: R$ 0', '2 vagas"">4 quartos', '120m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 539.000;Tecnologia e Comodidade! 98m - 3/4 com suíte - 2 Vagas - Localização privilegiada;Ontem às 16:03;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 0', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 330.000;"Residencial Poeta; 2/4; 57m²; andar alto; vista para o mar de Ponta Negra";Ontem às 15:54;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 650', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 650', '1 vaga']"
R$ 729.000;Luxo e Comodidade! 142m - 3 Suítes - Fino acabamento - Localização privilegiada;Ontem às 15:48;Profissional;"['""3 quartos', '142m²', 'Condomínio: R$ 0', '2 vagas"">3 quartos', '142m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 429.000;Localização privilegiada! 98m - 3/4 com suíte - Mobiliado - Aproveite;Ontem às 15:40;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 0', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 203.000;Espaçoso! 62m - 2/4 com suíte - Sombra - Lazer completo;Ontem às 15:35;Profissional;"['""2 quartos', '62m²', 'Condomínio: R$ 0', '1 vaga"">2 quartos', '62m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 839.000;Vista espetacular! 137m - 3 Suítes - Lazer completíssimo - 3 Vagas;Ontem às 15:29;Profissional;"['""3 quartos', '136m²', 'Condomínio: R$ 0', '3 vagas"">3 quartos', '136m²', 'Condomínio: R$ 0', '3 vagas']"
R$ 265.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:AP1083;Ontem às 15:20;Profissional;"['""3 quartos', '90m²', 'Condomínio: R$ 515', '2 vagas"">3 quartos', '90m²', 'Condomínio: R$ 515', '2 vagas']"
R$ 219.000;Melhor posição! 2/4 com suíte - Sombra - Projetados - Lazer completíssimo;Ontem às 15:03;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 290', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 290', '1 vaga']"
R$ 350.000;Apartamento com 3 dormitórios à venda, 100 m² por R$ 350.000,00 - Candelária - Natal/RN;Ontem às 15:00;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 600', '3 vagas"">3 quartos', '100m²', 'Condomínio: R$ 600', '3 vagas']"
R$ 320.000;Condomínio Sun Rise - 3 quartos com 84 m² e 2 vagas de garagem;Ontem às 14:46;Profissional;"['""3 quartos', '84m²', 'Condomínio: R$ 380', '2 vagas"">3 quartos', '84m²', 'Condomínio: R$ 380', '2 vagas']"
R$ 110.000;Apartamento à venda com 2 dormitórios em Neópolis, Natal cod:11194;Ontem às 14:45;Profissional;"['""2 quartos', '67m²', 'Condomínio: R$ 295', '1 vaga"">2 quartos', '67m²', 'Condomínio: R$ 295', '1 vaga']"
R$ 420.000;Apartamento 3 quartos no Central Park - 75 m² I Andar Alto;Ontem às 14:38;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 390', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 390', '2 vagas']"
R$ 200.000;RN praia Ponta Negra (vista total praia/Morro Careca);Ontem às 14:37;Ontem às 14:37<!-- --> ;"['""1 quarto', '40m²', 'Condomínio: R$ 1.000', '1 vaga"">1 quarto', '40m²', 'Condomínio: R$ 1.000', '1 vaga']"
R$ 299.900;Apartamento 3 quartos em Lagoa Nova - Em frente a Casa Norte;Ontem às 14:35;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 3.000.000;Cobertura Porto Brasil 320 M2 com Piscina e toda mobiliada;Ontem às 14:34;Ontem às 14:34<!-- --> ;"['""4 quartos', '320m²', 'Condomínio: R$ 1.250', '3 vagas"">4 quartos', '320m²', 'Condomínio: R$ 1.250', '3 vagas']"
R$ 230.000;Apartamento Verano Ponta Negra;Ontem às 14:29;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 459.000;Apartamento 3 quartos em Lagoa Nova - 73 m² com 02 vagas;Ontem às 14:03;Profissional;"['""3 quartos', '73m²', '2 vagas"">3 quartos', '73m²', '2 vagas']"
R$ 329.000;Apartamento 2 quartos em Lagoa Nova - 55 e 60 m²;Ontem às 13:58;Profissional;"['""2 quartos', '55m²', '1 vaga"">2 quartos', '55m²', '1 vaga']"
R$ 285.000;Vendo apartamento;Ontem às 13:55;Ontem às 13:55<!-- --> ;"['""2 quartos', '67m²', 'Condomínio: R$ 280', '1 vaga"">2 quartos', '67m²', 'Condomínio: R$ 280', '1 vaga']"
R$ 449.000;Lindo apart com 3/4 mais dependência de empregada vista mar;Ontem às 13:47;Profissional;"['""4 quartos', '105m²', '2 vagas"">4 quartos', '105m²', '2 vagas']"
R$ 429.000;Condomínio Duna Barcane Mobiliado;Ontem às 13:47;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 700', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 700', '1 vaga']"
R$ 90.000;Apartamento no Planalto - Solar das Estações;Ontem às 13:46;Profissional;"['""2 quartos', '52m²', '1 vaga"">2 quartos', '52m²', '1 vaga']"
R$ 670.911;Apartamento em Capim Macio - 3 Suítes com 136 m² I Lançamento Duo Capim Macio;Ontem às 13:44;Profissional;"['""3 quartos', '136m²', '2 vagas"">3 quartos', '136m²', '2 vagas']"
R$ 594.331;Apartamento 3 suítes em Capim Macio - 120 m² com 02 vagas I Duo capim Macio;Ontem às 13:38;Profissional;"['""3 quartos', '120m²', '2 vagas"">3 quartos', '120m²', '2 vagas']"
R$ 409.316;Apartamento 2 /4 em Capim Macio - 75 m² I Duo Capim Macio;Ontem às 13:32;Profissional;"['""2 quartos', '75m²', '1 vaga"">2 quartos', '75m²', '1 vaga']"
R$ 140.000;Marina Praia Sul I 1 - Venda - Apto 3 quartos em Capim Macio - Excelente Localização;Ontem às 13:32;Profissional;"['""3 quartos', '80m²', 'Condomínio: R$ 420', '1 vaga"">3 quartos', '80m²', 'Condomínio: R$ 420', '1 vaga']"
R$ 770.402;Apartamento Duplex - 3 suítes em Lagoa Nova com 165 m² I Torre Lisboa;Ontem às 13:14;Profissional;"['""3 quartos', '165m²', '3 vagas"">3 quartos', '165m²', '3 vagas']"
R$ 528.058;Apartamento 3 suítes em Lagoa Nova - 117 m² I Torre Lisboa;Ontem às 13:08;Profissional;"['""3 quartos', '117m²', '2 vagas"">3 quartos', '117m²', '2 vagas']"
R$ 265.000;Vendo Apartamento com 2 quartos no José Cosme;Ontem às 13:05;Profissional;"['""2 quartos', '58m²', 'Condomínio: R$ 370', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 370', '1 vaga']"
R$ 599.000;Apartamento Terra Brasilis - Brasil Colônia - 3 suites;Ontem às 13:05;Profissional;"['""3 quartos', '120m²', 'Condomínio: R$ 850', '2 vagas"">3 quartos', '120m²', 'Condomínio: R$ 850', '2 vagas']"
R$ 658.544;Apartamento em Lagoa Nova -3 suites com 143 m² I Torre Lisboa;Ontem às 13:02;Profissional;"['""3 quartos', '143m²', '3 vagas"">3 quartos', '143m²', '3 vagas']"
R$ 400.000;Apartamento à venda com 3 dormitórios em Cidade alta, Natal cod:820265;Ontem às 12:56;Profissional;"['""3 quartos', 'Condomínio: R$ 750"">3 quartos', 'Condomínio: R$ 750']"
R$ 140.002;Apartamento em Ponta Negra - 35m² - Rota do Sol Roberto Freire;Ontem às 12:41;Profissional;"['""1 quarto', '35m²"">1 quarto', '35m²']"
R$ 450.000;Imperial Ponta Negra Residence;Ontem às 12:39;Profissional;"['""3 quartos', '110m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 152.900;Apartamento em Ponta Negra com 2 Quartos no Condomínio Praia de Pipa, Documentação Grátis;Ontem às 12:34;Profissional;"['""2 quartos', '0m²', '1 vaga"">2 quartos', '0m²', '1 vaga']"
R$ 250.000;Vendo apartamento de 02 quartos no Residencial Tintoretto;Ontem às 12:29;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 898.601;Apartamento em Lagoa Nova - 4 suites com 193 m² I Torre Lisboa;Ontem às 12:21;Profissional;"['""4 quartos', '193m²', '3 vagas"">4 quartos', '193m²', '3 vagas']"
R$ 399.000;Flat à venda no melhor de Ponta Negra, 47 m² com 1 dormitório;Ontem às 12:14;Profissional;"['""1 quarto', '47m²', '1 vaga"">1 quarto', '47m²', '1 vaga']"
R$ 166.900;Apto Minha Casa Minha Vida 2 dormitórios à venda, 51 m² por R$ 166.900 - Ponta Negra;Ontem às 11:58;Profissional;"['""2 quartos', '51m²', '1 vaga"">2 quartos', '51m²', '1 vaga']"
R$ 214.032;Apartamento 2 quartos sendo 1 suite NOVO em Lagoa Nova;Ontem às 11:50;Profissional;"['""2 quartos', '56m²', '1 vaga"">2 quartos', '56m²', '1 vaga']"
R$ 130.000;Apartamento com 2 dormitórios à venda, 61 m² por R$ 130.000,00 - Planalto - Natal/RN;Ontem às 11:37;Profissional;"['""2 quartos', '62m²', 'Condomínio: R$ 171"">2 quartos', '62m²', 'Condomínio: R$ 171']"
R$ 115.000;Apartamento Venda Planalto;Ontem às 11:21;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 270', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 270', '1 vaga']"
R$ 230.000;Apartamento com 3 dormitórios à venda, 116 m² por R 230.000,00 - Candelária - Natal/RN;Ontem às 10:51;Profissional;"['""3 quartos', '116m²', 'Condomínio: R$ 295', '2 vagas"">3 quartos', '116m²', 'Condomínio: R$ 295', '2 vagas']"
R$ 700.000;Apartamento à venda com 4 dormitórios em Barro vermelho, Natal cod:815868;Ontem às 10:44;Profissional;"['""4 quartos', '243m²', 'Condomínio: R$ 2.100', '3 vagas"">4 quartos', '243m²', 'Condomínio: R$ 2.100', '3 vagas']"
R$ 698.000;Apartamento 4 quartos Saint Rafqa Capim Macio;Ontem às 10:42;Profissional;"['""4 quartos', '120m²', 'Condomínio: R$ 490', '2 vagas"">4 quartos', '120m²', 'Condomínio: R$ 490', '2 vagas']"
R$ 750.000;Belíssimo apartamento com 4 suítes no Tirol;Ontem às 10:42;Profissional;"['""4 quartos', '192m²', 'Condomínio: R$ 1.376', '2 vagas"">4 quartos', '192m²', 'Condomínio: R$ 1.376', '2 vagas']"
R$ 900.000;Cobertura em Ponta Negra;Ontem às 10:38;Profissional;"['""2 quartos', '127m²', 'Condomínio: R$ 735', '2 vagas"">2 quartos', '127m²', 'Condomínio: R$ 735', '2 vagas']"
R$ 144.000;Apartamento com 2 quartos em Pajuçara;Ontem às 10:36;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 380.000;Torre de Amitas Barros;Ontem às 10:32;Profissional;"['""3 quartos', '80m²', 'Condomínio: R$ 550', '2 vagas"">3 quartos', '80m²', 'Condomínio: R$ 550', '2 vagas']"
R$ 385.000;Apartamento com 4 dormitórios à venda, 212 m² por R$ 385.000,00 - Candelária - Natal/RN;Ontem às 10:21;Profissional;"['""4 quartos', '212m²', '3 vagas"">4 quartos', '212m²', '3 vagas']"
R$ 400.000;Apartamento Duplex Seaside Ponta Negra - Beira mar;Ontem às 09:58;Profissional;"['""2 quartos', '68m²', 'Condomínio: R$ 600', '1 vaga"">2 quartos', '68m²', 'Condomínio: R$ 600', '1 vaga']"
R$ 260.000;"Praia Calma Premium Flat; mobiliado; 2 quartos; 57m²; em Ponta Negra";Ontem às 09:58;Profissional;"['""2 quartos', '57m²', '1 vaga"">2 quartos', '57m²', '1 vaga']"
R$ 330.000;Residencial em Ponta Negra.;Ontem às 09:47;Profissional;"['""2 quartos', '64m²', 'Condomínio: R$ 650', '1 vaga"">2 quartos', '64m²', 'Condomínio: R$ 650', '1 vaga']"
R$ 285.000;Vendo Apartamento 03 quartos em Areia Preta;Ontem às 09:23;Profissional;"['""3 quartos', '123m²', '2 vagas"">3 quartos', '123m²', '2 vagas']"
R$ 335.000;Apto no Tirol.;Ontem às 09:18;Profissional;"['""2 quartos', '60m²', 'Condomínio: R$ 450', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 680.000;Apto no Tirol;Ontem às 09:17;Profissional;"['""3 quartos', '195m²', 'Condomínio: R$ 1.500', '3 vagas"">3 quartos', '195m²', 'Condomínio: R$ 1.500', '3 vagas']"
R$ 155.900;Apartamento em Ponta Negra - 2/4 - 45m² - Praia de Ponta Negra - Documentação Grátis;Ontem às 09:03;Profissional;"['""2 quartos', '48m²"">2 quartos', '48m²']"
R$ 532.000;Apartamento à venda com 4 dormitórios em Ponta negra, Natal cod:AP1310;Ontem às 08:47;Profissional;"['""4 quartos', '188m²', 'Condomínio: R$ 1.590', '4 vagas"">4 quartos', '188m²', 'Condomínio: R$ 1.590', '4 vagas']"
R$ 480.000;Apartamento de 3 quartos em Lagoa Nova|Natal, RN - Jerônimo Costa;Ontem às 08:36;Profissional;"['""3 quartos', '87m²', 'Condomínio: R$ 538', '2 vagas"">3 quartos', '87m²', 'Condomínio: R$ 538', '2 vagas']"
R$ 599.998;Residencial Saint Charbel Capim Macio. 4 quartos;Ontem às 08:28;Profissional;"['""4 quartos', '109m²', 'Condomínio: R$ 0', '2 vagas"">4 quartos', '109m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 275.000;Apartamento de 3 quartos com 75 m2 no Sun River - R$275.000,00;Ontem às 06:09;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 430', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 430', '2 vagas']"
R$ 230.000;Apartamento à venda com 2 dormitórios em Barro vermelho, Natal cod:9319;Ontem às 01:48;Profissional;"['""2 quartos', '75m²', 'Condomínio: R$ 600', '1 vaga"">2 quartos', '75m²', 'Condomínio: R$ 600', '1 vaga']"
R$ 270.000;Venda Apto Natal;Ontem às 00:34;Ontem às 00:34<!-- --> ;"['""3 quartos', '126m²', 'Condomínio: R$ 480', '1 vaga"">3 quartos', '126m²', 'Condomínio: R$ 480', '1 vaga']"
R$ 1.900.000;Apartamento à venda com 4 dormitórios em Petrópolis, Natal cod:822323;Ontem às 00:24;Profissional;"['""4 quartos', '165m²', '4 vagas"">4 quartos', '165m²', '4 vagas']"
R$ 320.000;Apartamento para Venda em Natal, Tirol, 3 dormitórios, 2 suítes, 1 banheiro, 2 vagas;Ontem às 00:20;Profissional;"['""3 quartos', '140m²', 'Condomínio: R$ 770', '2 vagas"">3 quartos', '140m²', 'Condomínio: R$ 770', '2 vagas']"
R$ 670.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:APV 29334;Ontem às 00:12;Profissional;"['""3 quartos', '214m²', 'Condomínio: R$ 1.350', '3 vagas"">3 quartos', '214m²', 'Condomínio: R$ 1.350', '3 vagas']"
R$ 215.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:AV-140;22/01 às 23:59;Profissional;"['""3 quartos', '69m²', '1 vaga"">3 quartos', '69m²', '1 vaga']"
R$ 450.000;Apartamento à venda com 3 dormitórios em Capim macio, Natal cod:AV-8203;22/01 às 23:47;Profissional;"['""3 quartos', '95m²', 'Condomínio: R$ 690', '2 vagas"">3 quartos', '95m²', 'Condomínio: R$ 690', '2 vagas']"
R$ 1.100.000;Apartamento no Edificio Oasis em Areia Preta, 3/4, sendo três suítes, na beira mar;22/01 às 23:43;Profissional;"['""4 quartos', '168m²', '3 vagas"">4 quartos', '168m²', '3 vagas']"
R$ 312.459;Residencial Poeta em Ponta Negra - 9º andar;22/01 às 23:28;Profissional;"['""2 quartos', '58m²', '1 vaga"">2 quartos', '58m²', '1 vaga']"
R$ 290.000;Apartamento à venda com 2 dormitórios em Candelária, Natal cod:822355;22/01 às 23:19;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 314', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 314', '1 vaga']"
R$ 500.000;Apartamento à venda com 3 dormitórios em Cidade alta, Natal cod:11090;22/01 às 23:18;Profissional;"['""3 quartos', '75m²', 'Condomínio: R$ 499', '2 vagas"">3 quartos', '75m²', 'Condomínio: R$ 499', '2 vagas']"
R$ 498.000;Apartamento em Natal de 3 quartos + dependencia completa condomínio Parque Cidade Jardim;22/01 às 22:59;Profissional;"['""3 quartos', '92m²', 'Condomínio: R$ 380', '2 vagas"">3 quartos', '92m²', 'Condomínio: R$ 380', '2 vagas']"
R$ 1.997.000;Apartamento com 4 quartos, 370 m², à venda por R$ 1.997.000 Petrópolis - Natal/RN;22/01 às 22:48;Profissional;"['""4 quartos', '370m²', 'Condomínio: R$ 2.875', '4 vagas"">4 quartos', '370m²', 'Condomínio: R$ 2.875', '4 vagas']"
R$ 700.000;Apartamento no Tirol - 4 Quartos + Dep - 161m²;22/01 às 22:45;Profissional;"['""4 quartos', '161m²', '2 vagas"">4 quartos', '161m²', '2 vagas']"
R$ 532.000;Apartamento a venda de 98m² no Tirol|Natal RN, Residencial Passaredo;22/01 às 22:28;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 481', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 481', '2 vagas']"
R$ 400.000;Apartamento no Ed. Polaris - 3 quartos sendo 1 suíte;22/01 às 22:27;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 560', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 560', '2 vagas']"
R$ 60.000;Repasse de um apartamento ;22/01 às 22:26;22/01 às 22:26<!-- --> ;"['""2 quartos', '55m²', 'Condomínio: R$ 130', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 130', '1 vaga']"
R$ 102.000;Apartamento 2 quartos;22/01 às 22:19;22/01 às 22:19<!-- --> ;"['""2 quartos', '47m²', 'Condomínio: R$ 225', '1 vaga"">2 quartos', '47m²', 'Condomínio: R$ 225', '1 vaga']"
R$ 480.000;Apartamento para Venda em Natal, Ponta Negra, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas;22/01 às 22:10;Profissional;"['""3 quartos', '110m²', 'Condomínio: R$ 743', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 743', '2 vagas']"
